Membership No  Date Joined  Active
    95354      2018-1-22    no
    22279      2019-3-7     no
    57190      2015-7-5     no
    75916      2018-11-20   no
    79180      2018-7-16    no
    15937      2017-12-17   no
    75212      2015-1-12    no
    13570      2016-1-7     no
    80210      2019-7-5     no
    30358      2017-3-13    no
    60104      2018-11-7    no
    39322      2017-8-13    no
Membership No  Date Joined  Active
    95354      2018-1-22    no
    22279      2019-3-7     no
    57190      2015-7-5     no
    75916      2018-11-20   no
    79180      2018-7-16    no
    15937      2017-12-17   no
    75212      2015-1-12    no
    13570      2016-1-7     no
    80210      2019-7-5     no
    30358      2017-3-13    no
    60104      2018-11-7    no
    39322      2017-8-13    no
